Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vector.x,vector.y,vector.z
1669803653.5993316,258,1669803653,598275902,imu_link,0.004532090853899718,-0.016628209501504898,0.0139154763892293
1669803653.6027966,259,1669803653,602483129,imu_link,0.004989002365618945,-0.019317021593451503,0.022224396467208862
1669803653.6080773,260,1669803653,607763796,imu_link,0.003463050583377481,-0.022663183510303497,0.011724960990250112
1669803653.6134577,261,1669803653,613048112,imu_link,0.000653323659207672,-0.02094283699989319,0.009243195876479149
1669803653.6186805,262,1669803653,618359718,imu_link,0.0006914976402185858,-0.01897585019469261,0.022804765030741695
1669803653.6228156,263,1669803653,622528582,imu_link,-0.0003776256635319442,-0.01810790039598942,0.014736495912075043
1669803653.6280842,264,1669803653,627816426,imu_link,0.002622569212689996,-0.018812712281942368,0.0056907772086560735
1669803653.6339002,265,1669803653,633199168,imu_link,0.003048684448003769,-0.01550900284200907,0.023330105468630794
1669803653.6392615,266,1669803653,638589629,imu_link,0.0011437039356678724,-0.015462177805602552,0.01695827767252922
1669803653.6432557,267,1669803653,642845113,imu_link,9.309417509939522e-05,-0.016370415687561035,0.009515875019133093
1669803653.6484408,268,1669803653,648081484,imu_link,0.0010124641703441741,-0.016593143343925476,0.015318450517952444
1669803653.6537435,269,1669803653,653391044,imu_link,0.003679972607642412,-0.014999468810856344,0.013877461664378645
1669803653.6581323,270,1669803653,657679944,imu_link,0.003249229164794088,-0.01561492495238781,0.0006764332647435368
1669803653.663239,271,1669803653,662937429,imu_link,0.0027752711903303866,-0.012056573294103147,0.00887211412191391
1669803653.668662,272,1669803653,668148788,imu_link,0.002390191657468677,-0.010877123102545738,0.020285682752728466
1669803653.673669,273,1669803653,673378146,imu_link,0.0011780323693528774,-0.015681978315114975,0.0024490002542734146
1669803653.677864,274,1669803653,677613984,imu_link,0.003714780090376735,-0.012892516329884529,0.002881108550354839
1669803653.6838152,275,1669803653,683079804,imu_link,0.002036181511357427,-0.013809648342430593,0.010058300569653511
1669803653.689075,276,1669803653,688344553,imu_link,-0.0006593312136828899,-0.015164169482886793,0.0015020642895251513
1669803653.6930788,277,1669803653,692588372,imu_link,0.004902473185211421,-0.016821932047605515,-0.004733327776193619
1669803653.698368,278,1669803653,697886512,imu_link,0.0018119059968739748,-0.01368300896137953,0.01137031801044941
1669803653.7036915,279,1669803653,703244680,imu_link,0.004302031360566616,-0.022599101066589355,0.0018982660258188846
1669803653.7088373,280,1669803653,708454890,imu_link,0.008903387002646925,-0.019878920167684555,-0.0025168147403746848
1669803653.713045,281,1669803653,712705067,imu_link,0.0077216969802975655,-0.0272348877042532,0.008856480009853842
1669803653.71835,282,1669803653,717991899,imu_link,0.006620796862989665,-0.02900431677699089,0.0054180468432605275
1669803653.7234342,283,1669803653,723200091,imu_link,0.009457911364734175,-0.031750593334436424,-0.004634406417608261
1669803653.7287285,284,1669803653,728438935,imu_link,0.0020934499334543948,-0.03506243973970413,0.0032499840017408137
1669803653.733024,285,1669803653,732727166,imu_link,0.004453370813280345,-0.0321708619594574,0.009436085820198059
1669803653.7383559,286,1669803653,737995707,imu_link,0.007416381035000087,-0.0350460410118103,-0.003373502986505628
1669803653.743582,287,1669803653,743311780,imu_link,0.004941781517118216,-0.03304411098361016,0.004589463584125042
1669803653.7478538,288,1669803653,747577010,imu_link,0.003898323979228735,-0.03732514753937722,0.01872706040740013
1669803653.753145,289,1669803653,752881605,imu_link,0.0019573310855776076,-0.03267676383256912,0.004719089716672897
1669803653.7585049,290,1669803653,758182247,imu_link,0.004377881996333599,-0.032608229666948325,0.0026300419121980667
1669803653.7635815,291,1669803653,763330363,imu_link,0.005264465697109699,-0.03250539302825928,0.011665425263345243
1669803653.7684448,292,1669803653,767728481,imu_link,0.006771983578801155,-0.028676522895693782,0.00917460210621357
1669803653.7736135,293,1669803653,773088014,imu_link,0.00778574962168932,-0.028292866423726085,-0.001396291074343026
1669803653.7787924,294,1669803653,778358473,imu_link,0.003533777548000217,-0.024982530623674393,0.013465468771755697
1669803653.78299,295,1669803653,782590368,imu_link,0.008618903346359732,-0.027187889441847805,0.01151338592171669
1669803653.7883394,296,1669803653,787873513,imu_link,0.004436724353581668,-0.026216376572847366,0.001756882411427796
1669803653.7935503,297,1669803653,793166459,imu_link,0.00777155626565218,-0.01815854944288731,0.014320104382932188
1669803653.798781,298,1669803653,798452863,imu_link,0.006863586138933898,-0.020394422113895416,0.018411150202155117
1669803653.8029475,299,1669803653,802707428,imu_link,0.008625496178865433,-0.016515713185071945,0.004453993868082763
1669803653.808139,300,1669803653,807871481,imu_link,0.009961328469216825,-0.015999440103769302,0.008556240238249304
1669803653.8136015,301,1669803653,813108723,imu_link,0.003429482225328684,-0.016508257016539577,0.02244263701140881
1669803653.819216,302,1669803653,818482914,imu_link,0.006193746346980334,-0.01300419308245182,0.007713607978075744
1669803653.8232675,303,1669803653,822738837,imu_link,0.008011547848582268,-0.013510910794138908,0.01222790312021971
1669803653.8285544,304,1669803653,828136799,imu_link,0.007044462021440268,-0.011917192488908768,0.026083761826157573
1669803653.8337975,305,1669803653,833432094,imu_link,0.0069282883778214455,-0.008872124366462232,0.017639270052313808
1669803653.8378785,306,1669803653,837648070,imu_link,0.006155617535114288,-0.006955150980502368,0.013586137443780899
1669803653.8433034,307,1669803653,842854679,imu_link,0.007829780690371992,-0.002696370938792825,0.029982637614011765
1669803653.8484726,308,1669803653,848095846,imu_link,0.0027396010700613265,-0.001156307989731431,0.021864479407668117
