Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vector.x,vector.y,vector.z
1669803320.423328,250,1669803320,423047544,imu_link,-1.4349814653396609,0.49879112839698797,9.674213409423828
1669803320.4285803,251,1669803320,428319850,imu_link,-1.426545023918152,0.5465720891952515,9.681358337402344
1669803320.4327502,252,1669803320,432516182,imu_link,-1.4368960857391357,0.5552459359169007,9.700562477111818
1669803320.4384768,253,1669803320,437836404,imu_link,-1.4542599916458132,0.5366204977035522,9.698978424072266
1669803320.4441562,254,1669803320,443482743,imu_link,-1.4698888063430788,0.528282880783081,9.693774223327638
1669803320.4481254,255,1669803320,447699934,imu_link,-1.4914499521255495,0.523576021194458,9.684062004089357
1669803320.4540465,256,1669803320,452976239,imu_link,-1.5179854631423952,0.4511227011680603,9.698599815368654
1669803320.4588366,257,1669803320,458430711,imu_link,-1.4999005794525146,0.392985612154007,9.68944835662842
1669803320.4631517,258,1669803320,462733537,imu_link,-1.4593085050582888,0.40049430727958685,9.684676170349123
1669803320.4683118,259,1669803320,467999850,imu_link,-1.4200594425201416,0.37448060512542725,9.708215713500977
1669803320.4736645,260,1669803320,473348057,imu_link,-1.4029551744461062,0.38109895586967474,9.691341400146484
1669803320.4778082,261,1669803320,477614563,imu_link,-1.4237499237060547,0.45080110430717474,9.64613151550293
1669803320.483106,262,1669803320,482844511,imu_link,-1.436446189880371,0.4611425697803498,9.672075271606445
1669803320.4883165,263,1669803320,488060029,imu_link,-1.4591263532638552,0.5019446611404419,9.657786369323732
1669803320.4934912,264,1669803320,493307538,imu_link,-1.4889513254165652,0.5499863624572754,9.621745109558107
1669803320.498257,265,1669803320,497714351,imu_link,-1.5082789659500124,0.5765713453292847,9.619443893432617
1669803320.5036688,266,1669803320,503067321,imu_link,-1.5058281421661377,0.5505142807960511,9.649866104125977
1669803320.5082831,267,1669803320,507601493,imu_link,-1.47726047039032,0.5117501616477967,9.603017807006836
1669803320.513842,268,1669803320,513017347,imu_link,-1.4662562608718874,0.48227509856224066,9.647544860839844
1669803320.5191486,269,1669803320,518395249,imu_link,-1.4420068264007568,0.4167596697807312,9.657488822937013
1669803320.5234587,270,1669803320,522854495,imu_link,-1.4642744064331055,0.4106677174568176,9.645383834838867
1669803320.5285966,271,1669803320,528154079,imu_link,-1.4826968908309939,0.4089117646217346,9.636614799499513
1669803320.5330453,272,1669803320,532616374,imu_link,-1.4682679176330566,0.36152225732803345,9.674906730651857
1669803320.5384808,273,1669803320,537955735,imu_link,-1.5143553018569949,0.39745542407035833,9.648274421691896
1669803320.5435355,274,1669803320,543233475,imu_link,-1.4794604778289795,0.41191950440406805,9.645938873291016
1669803320.5488923,275,1669803320,548568531,imu_link,-1.5035114288330078,0.45863249897956854,9.662105560302734
1669803320.5530593,276,1669803320,552779680,imu_link,-1.5116851329803467,0.4537498056888581,9.677963256835938
1669803320.5583029,277,1669803320,558058913,imu_link,-1.4742002487182617,0.4849745035171509,9.654051780700685
1669803320.5636783,278,1669803320,563397007,imu_link,-1.4322712421417236,0.48970976471900945,9.708947181701662
1669803320.567869,279,1669803320,567623260,imu_link,-1.4416637420654297,0.45688274502754217,9.704682350158693
1669803320.5731838,280,1669803320,572941785,imu_link,-1.4491239786148074,0.4525790810585022,9.702817916870117
1669803320.5791106,281,1669803320,578488945,imu_link,-1.4680006504058838,0.48020616173744207,9.694041252136232
1669803320.5833879,282,1669803320,582937693,imu_link,-1.5035754442214968,0.4301854372024536,9.703798294067383
1669803320.588692,283,1669803320,588322764,imu_link,-1.493268132209778,0.4440988302230835,9.689376831054688
1669803320.5932128,284,1669803320,592619719,imu_link,-1.4876980781555176,0.47566369175910955,9.690784454345703
1669803320.5982273,285,1669803320,597920017,imu_link,-1.4693384170532227,0.48145261406898504,9.698822975158693
1669803320.6036546,286,1669803320,603336259,imu_link,-1.4645617008209229,0.4862141013145447,9.689933776855469
1669803320.607842,287,1669803320,607598562,imu_link,-1.4746332168579102,0.5208347439765931,9.669361114501953
1669803320.613272,288,1669803320,612925466,imu_link,-1.4636358022689822,0.5355626344680786,9.665951728820803
1669803320.6185136,289,1669803320,618300572,imu_link,-1.4973232746124268,0.5314451456069946,9.666851043701172
1669803320.6227448,290,1669803320,622578485,imu_link,-1.4763174057006836,0.5404236912727357,9.655967712402344
1669803320.6279738,291,1669803320,627772828,imu_link,-1.451077938079834,0.5218637585639955,9.672843933105469
1669803320.633264,292,1669803320,632947148,imu_link,-1.4576830863952637,0.4708598852157593,9.686310768127443
1669803320.6384706,293,1669803320,638238939,imu_link,-1.45440673828125,0.46796905994415283,9.674319267272951
1669803320.6437414,294,1669803320,643468826,imu_link,-1.4722225666046143,0.4676852822303772,9.682776451110842
1669803320.6478882,295,1669803320,647646719,imu_link,-1.54101836681366,0.4456545114517212,9.713561058044435
1669803320.6531699,296,1669803320,652861860,imu_link,-1.5403481721878054,0.45941159129142767,9.682418823242188
1669803320.6582983,297,1669803320,658120538,imu_link,-1.5311259031295779,0.4544258713722229,9.673756599426271
1669803320.663759,298,1669803320,663437427,imu_link,-1.511677145957947,0.46092346310615545,9.699055671691896
1669803320.6684813,299,1669803320,667774940,imu_link,-1.4733312129974365,0.4681898355484009,9.690715789794922
1669803320.673741,300,1669803320,673091795,imu_link,-1.4532021284103396,0.5022672414779663,9.68533706665039
1669803320.6787438,301,1669803320,678367994,imu_link,-1.469994902610779,0.47784852981567383,9.711304664611818
1669803320.6840556,302,1669803320,683641830,imu_link,-1.471489667892456,0.4534749388694763,9.692388534545898
